Monat,Durchfluss_m3s,Datum,trendber,trend,saisonfigur_mean,saisonfigur_std,saisonber,normiert,autokorr_saisonfigur,autokorr,zufall
11/1959,0.336,1959-11-01,0.28476,0.05124,0.95687,0.73276,-0.62087,-0.84731,0.44651,-0.37833,-0.46898
12/1959,0.256,1959-12-01,0.20497,0.05103,1.42378,1.20142,-1.16778,-0.972,0.38281,-0.37209,-0.5999
01/1960,0.701,1960-01-01,0.65019,0.05081,1.32562,0.92795,-0.62463,-0.67312,0.25444,-0.17127,-0.50185
02/1960,0.562,1960-02-01,0.5114,0.0506,1.09023,0.71671,-0.52823,-0.73701,0.25318,-0.18659,-0.55042
03/1960,1.864,1960-03-01,1.81362,0.05038,1.8362,1.01561,0.0278,0.02737,0.00952,0.00026,0.02711
04/1960,1.15,1960-04-01,1.09983,0.05017,2.39665,1.45556,-1.24665,-0.85648,0.59307,-0.50795,-0.34853
05/1960,1.147,1960-05-01,1.09704,0.04996,1.25822,0.80009,-0.11122,-0.13902,0.37076,-0.05154,-0.08747
06/1960,0.672,1960-06-01,0.62226,0.04974,0.87288,0.52115,-0.20088,-0.38544,0.06897,-0.02659,-0.35886
07/1960,0.42,1960-07-01,0.37047,0.04953,0.86582,0.66268,-0.44583,-0.67276,0.11956,-0.08043,-0.59233
08/1960,0.493,1960-08-01,0.44369,0.04931,0.6943,0.42636,-0.2013,-0.47214,0.19382,-0.09151,-0.38063
09/1960,0.254,1960-09-01,0.2049,0.0491,0.7096,0.52468,-0.4556,-0.86833,0.54189,-0.47054,-0.39779
10/1960,1.97,1960-10-01,1.92111,0.04889,0.81383,0.66743,1.15617,1.73227,-0.0622,-0.10774,1.84001
11/1960,1.161,1960-11-01,1.11233,0.04867,0.95687,0.73276,0.20413,0.27857,0.44651,0.12438,0.15419
12/1960,1.415,1960-12-01,1.36654,0.04846,1.42378,1.20142,-0.00878,-0.0073,0.38281,-0.0028,-0.00451
01/1961,0.584,1961-01-01,0.53576,0.04824,1.32562,0.92795,-0.74163,-0.79921,0.25444,-0.20335,-0.59586
02/1961,1.968,1961-02-01,1.91997,0.04803,1.09023,0.71671,0.87777,1.22473,0.25318,0.31007,0.91465
03/1961,2.547,1961-03-01,2.49918,0.04782,1.8362,1.01561,0.7108,0.69988,0.00952,0.00666,0.69321
04/1961,2.235,1961-04-01,2.1874,0.0476,2.39665,1.45556,-0.16165,-0.11106,0.59307,-0.06586,-0.04519
05/1961,1.634,1961-05-01,1.58661,0.04739,1.25822,0.80009,0.37578,0.46967,0.37076,0.17414,0.29553
06/1961,2.273,1961-06-01,2.22583,0.04717,0.87288,0.52115,1.40012,2.6866,0.06897,0.18531,2.5013
07/1961,0.745,1961-07-01,0.69804,0.04696,0.86582,0.66268,-0.12083,-0.18233,0.11956,-0.0218,-0.16053
08/1961,0.699,1961-08-01,0.65225,0.04675,0.6943,0.42636,0.0047,0.01102,0.19382,0.00214,0.00889
09/1961,0.462,1961-09-01,0.41547,0.04653,0.7096,0.52468,-0.2476,-0.4719,0.54189,-0.25572,-0.21618
10/1961,0.4,1961-10-01,0.35368,0.04632,0.81383,0.66743,-0.41383,-0.62002,-0.0622,0.03856,-0.65859
11/1961,0.409,1961-11-01,0.36289,0.04611,0.95687,0.73276,-0.54787,-0.74769,0.44651,-0.33385,-0.41384
12/1961,0.688,1961-12-01,0.64211,0.04589,1.42378,1.20142,-0.73578,-0.61242,0.38281,-0.23444,-0.37798
01/1962,1.165,1962-01-01,1.11932,0.04568,1.32562,0.92795,-0.16063,-0.1731,0.25444,-0.04404,-0.12905
02/1962,0.621,1962-02-01,0.57554,0.04546,1.09023,0.71671,-0.46923,-0.65469,0.25318,-0.16575,-0.48894
03/1962,0.957,1962-03-01,0.91175,0.04525,1.8362,1.01561,-0.8792,-0.86569,0.00952,-0.00824,-0.85744
04/1962,3.646,1962-04-01,3.60096,0.04504,2.39665,1.45556,1.24935,0.85833,0.59307,0.50905,0.34928
05/1962,1.435,1962-05-01,1.39018,0.04482,1.25822,0.80009,0.17678,0.22094,0.37076,0.08192,0.13903
06/1962,0.612,1962-06-01,0.56739,0.04461,0.87288,0.52115,-0.26088,-0.50057,0.06897,-0.03453,-0.46605
07/1962,0.632,1962-07-01,0.58761,0.04439,0.86582,0.66268,-0.23383,-0.35285,0.11956,-0.04219,-0.31066
08/1962,0.329,1962-08-01,0.28482,0.04418,0.6943,0.42636,-0.3653,-0.85679,0.19382,-0.16606,-0.69073
09/1962,0.323,1962-09-01,0.27903,0.04397,0.7096,0.52468,-0.3866,-0.73682,0.54189,-0.39928,-0.33755
10/1962,0.316,1962-10-01,0.27225,0.04375,0.81383,0.66743,-0.49783,-0.74588,-0.0622,0.04639,-0.79227
11/1962,0.398,1962-11-01,0.35446,0.04354,0.95687,0.73276,-0.55887,-0.7627,0.44651,-0.34055,-0.42215
12/1962,0.433,1962-12-01,0.38968,0.04332,1.42378,1.20142,-0.99078,-0.82467,0.38281,-0.3157,-0.50898
01/1963,0.405,1963-01-01,0.36189,0.04311,1.32562,0.92795,-0.92062,-0.9921,0.25444,-0.25243,-0.73967
02/1963,0.31,1963-02-01,0.2671,0.0429,1.09023,0.71671,-0.78023,-1.08862,0.25318,-0.27561,-0.81301
03/1963,1.512,1963-03-01,1.46932,0.04268,1.8362,1.01561,-0.3242,-0.31922,0.00952,-0.00304,-0.31618
04/1963,2.717,1963-04-01,2.67453,0.04247,2.39665,1.45556,0.32035,0.22009,0.59307,0.13053,0.08956
05/1963,0.869,1963-05-01,0.82675,0.04225,1.25822,0.80009,-0.38922,-0.48648,0.37076,-0.18037,-0.30611
06/1963,0.946,1963-06-01,0.90396,0.04204,0.87288,0.52115,0.07312,0.14031,0.06897,0.00968,0.13064
07/1963,0.725,1963-07-01,0.68317,0.04183,0.86582,0.66268,-0.14083,-0.21251,0.11956,-0.02541,-0.1871
08/1963,0.318,1963-08-01,0.27639,0.04161,0.6943,0.42636,-0.3763,-0.88259,0.19382,-0.17106,-0.71153
09/1963,0.23,1963-09-01,0.1886,0.0414,0.7096,0.52468,-0.4796,-0.91407,0.54189,-0.49533,-0.41875
10/1963,0.268,1963-10-01,0.22682,0.04118,0.81383,0.66743,-0.54583,-0.8178,-0.0622,0.05086,-0.86866
11/1963,0.279,1963-11-01,0.23803,0.04097,0.95687,0.73276,-0.67787,-0.9251,0.44651,-0.41307,-0.51203
12/1963,0.268,1963-12-01,0.22724,0.04076,1.42378,1.20142,-1.15578,-0.96201,0.38281,-0.36827,-0.59374
01/1964,0.254,1964-01-01,0.21346,0.04054,1.32562,0.92795,-1.07162,-1.15483,0.25444,-0.29383,-0.86099
02/1964,0.25,1964-02-01,0.20967,0.04033,1.09023,0.71671,-0.84023,-1.17233,0.25318,-0.29681,-0.87553
03/1964,1.139,1964-03-01,1.09889,0.04011,1.8362,1.01561,-0.6972,-0.68648,0.00952,-0.00654,-0.67995
04/1964,1.806,1964-04-01,1.7661,0.0399,2.39665,1.45556,-0.59065,-0.40579,0.59307,-0.24066,-0.16513
05/1964,0.984,1964-05-01,0.94431,0.03969,1.25822,0.80009,-0.27422,-0.34274,0.37076,-0.12708,-0.21567
06/1964,0.376,1964-06-01,0.33653,0.03947,0.87288,0.52115,-0.49688,-0.95342,0.06897,-0.06576,-0.88766
07/1964,0.252,1964-07-01,0.21274,0.03926,0.86582,0.66268,-0.61383,-0.92628,0.11956,-0.11074,-0.81553
08/1964,0.161,1964-08-01,0.12196,0.03904,0.6943,0.42636,-0.5333,-1.25082,0.19382,-0.24243,-1.00839
09/1964,0.186,1964-09-01,0.14717,0.03883,0.7096,0.52468,-0.5236,-0.99793,0.54189,-0.54077,-0.45717
10/1964,0.296,1964-10-01,0.25738,0.03862,0.81383,0.66743,-0.51783,-0.77585,-0.0622,0.04826,-0.8241
11/1964,0.52,1964-11-01,0.4816,0.0384,0.95687,0.73276,-0.43687,-0.59621,0.44651,-0.26621,-0.32999
12/1964,0.575,1964-12-01,0.53681,0.03819,1.42378,1.20142,-0.84878,-0.70648,0.38281,-0.27045,-0.43603
01/1965,0.493,1965-01-01,0.45502,0.03798,1.32562,0.92795,-0.83262,-0.89727,0.25444,-0.2283,-0.66897
02/1965,0.323,1965-02-01,0.28524,0.03776,1.09023,0.71671,-0.76723,-1.07048,0.25318,-0.27102,-0.79946
03/1965,2.131,1965-03-01,2.09345,0.03755,1.8362,1.01561,0.2948,0.29027,0.00952,0.00276,0.28751
04/1965,5.107,1965-04-01,5.06967,0.03733,2.39665,1.45556,2.71035,1.86207,0.59307,1.10433,0.75774
05/1965,3.595,1965-05-01,3.55788,0.03712,1.25822,0.80009,2.33678,2.92065,0.37076,1.08287,1.83778
06/1965,1.713,1965-06-01,1.67609,0.03691,0.87288,0.52115,0.84012,1.61206,0.06897,0.11119,1.50087
07/1965,0.553,1965-07-01,0.51631,0.03669,0.86582,0.66268,-0.31283,-0.47206,0.11956,-0.05644,-0.41562
08/1965,0.438,1965-08-01,0.40152,0.03648,0.6943,0.42636,-0.2563,-0.60114,0.19382,-0.11651,-0.48463
09/1965,0.606,1965-09-01,0.56974,0.03626,0.7096,0.52468,-0.1036,-0.19745,0.54189,-0.107,-0.09046
10/1965,0.42,1965-10-01,0.38395,0.03605,0.81383,0.66743,-0.39383,-0.59006,-0.0622,0.0367,-0.62676
11/1965,0.429,1965-11-01,0.39316,0.03584,0.95687,0.73276,-0.52787,-0.72039,0.44651,-0.32166,-0.39873
12/1965,2.772,1965-12-01,2.73638,0.03562,1.42378,1.20142,1.34822,1.1222,0.38281,0.42959,0.6926
01/1966,1.364,1966-01-01,1.32859,0.03541,1.32562,0.92795,0.03838,0.04135,0.25444,0.01052,0.03083
02/1966,2.845,1966-02-01,2.80981,0.03519,1.09023,0.71671,1.75477,2.44837,0.25318,0.61987,1.8285
03/1966,1.574,1966-03-01,1.53902,0.03498,1.8362,1.01561,-0.2622,-0.25817,0.00952,-0.00246,-0.25571
04/1966,2.153,1966-04-01,2.11823,0.03477,2.39665,1.45556,-0.24365,-0.16739,0.59307,-0.09928,-0.06812
05/1966,1.271,1966-05-01,1.23645,0.03455,1.25822,0.80009,0.01277,0.01597,0.37076,0.00592,0.01005
06/1966,1.645,1966-06-01,1.61066,0.03434,0.87288,0.52115,0.77212,1.48158,0.06897,0.10219,1.37939
07/1966,2.343,1966-07-01,2.30888,0.03412,0.86582,0.66268,1.47718,2.22909,0.11956,0.2665,1.96259
08/1966,0.506,1966-08-01,0.47209,0.03391,0.6943,0.42636,-0.1883,-0.44165,0.19382,-0.0856,-0.35605
09/1966,0.796,1966-09-01,0.7623,0.0337,0.7096,0.52468,0.0864,0.16467,0.54189,0.08923,0.07544
10/1966,0.703,1966-10-01,0.66952,0.03348,0.81383,0.66743,-0.11083,-0.16605,-0.0622,0.01033,-0.17637
11/1966,0.968,1966-11-01,0.93473,0.03327,0.95687,0.73276,0.01113,0.01518,0.44651,0.00678,0.0084
12/1966,1.724,1966-12-01,1.69095,0.03305,1.42378,1.20142,0.30022,0.24989,0.38281,0.09566,0.15423
01/1967,1.667,1967-01-01,1.63416,0.03284,1.32562,0.92795,0.34138,0.36788,0.25444,0.0936,0.27428
02/1967,3.102,1967-02-01,3.06937,0.03263,1.09023,0.71671,2.01177,2.80695,0.25318,0.71065,2.0963
03/1967,2.613,1967-03-01,2.58059,0.03241,1.8362,1.01561,0.7768,0.76486,0.00952,0.00728,0.75758
04/1967,2.193,1967-04-01,2.1608,0.0322,2.39665,1.45556,-0.20365,-0.13991,0.59307,-0.08298,-0.05694
05/1967,0.486,1967-05-01,0.45402,0.03198,1.25822,0.80009,-0.77222,-0.96518,0.37076,-0.35785,-0.60732
06/1967,0.451,1967-06-01,0.41923,0.03177,0.87288,0.52115,-0.42188,-0.80951,0.06897,-0.05584,-0.75367
07/1967,0.433,1967-07-01,0.40144,0.03156,0.86582,0.66268,-0.43283,-0.65314,0.11956,-0.07809,-0.57506
08/1967,0.553,1967-08-01,0.52166,0.03134,0.6943,0.42636,-0.1413,-0.33141,0.19382,-0.06423,-0.26718
09/1967,0.455,1967-09-01,0.42387,0.03113,0.7096,0.52468,-0.2546,-0.48524,0.54189,-0.26295,-0.2223
10/1967,0.491,1967-10-01,0.46009,0.03091,0.81383,0.66743,-0.32283,-0.48368,-0.0622,0.03008,-0.51377
11/1967,0.542,1967-11-01,0.5113,0.0307,0.95687,0.73276,-0.41487,-0.56618,0.44651,-0.25281,-0.31338
12/1967,2.193,1967-12-01,2.16251,0.03049,1.42378,1.20142,0.76922,0.64027,0.38281,0.2451,0.39516
01/1968,2.848,1968-01-01,2.81773,0.03027,1.32562,0.92795,1.52237,1.64057,0.25444,0.41743,1.22314
02/1968,1.039,1968-02-01,1.00894,0.03006,1.09023,0.71671,-0.05123,-0.07147,0.25318,-0.0181,-0.05338
03/1968,3.584,1968-03-01,3.55415,0.02985,1.8362,1.01561,1.7478,1.72094,0.00952,0.01638,1.70455
04/1968,3.988,1968-04-01,3.95837,0.02963,2.39665,1.45556,1.59135,1.09329,0.59307,0.64839,0.4449
05/1968,1.472,1968-05-01,1.44258,0.02942,1.25822,0.80009,0.21378,0.26719,0.37076,0.09906,0.16813
06/1968,0.648,1968-06-01,0.6188,0.0292,0.87288,0.52115,-0.22488,-0.4315,0.06897,-0.02976,-0.40173
07/1968,0.714,1968-07-01,0.68501,0.02899,0.86582,0.66268,-0.15183,-0.22911,0.11956,-0.02739,-0.20172
08/1968,0.833,1968-08-01,0.80422,0.02878,0.6943,0.42636,0.1387,0.32531,0.19382,0.06305,0.26226
09/1968,1.351,1968-09-01,1.32244,0.02856,0.7096,0.52468,0.6414,1.22245,0.54189,0.66243,0.56002
10/1968,3.055,1968-10-01,3.02665,0.02835,0.81383,0.66743,2.24118,3.3579,-0.0622,-0.20885,3.56676
11/1968,0.743,1968-11-01,0.71487,0.02813,0.95687,0.73276,-0.21387,-0.29188,0.44651,-0.13033,-0.16155
12/1968,0.668,1968-12-01,0.64008,0.02792,1.42378,1.20142,-0.75578,-0.62907,0.38281,-0.24082,-0.38825
01/1969,0.621,1969-01-01,0.59329,0.02771,1.32562,0.92795,-0.70462,-0.75933,0.25444,-0.19321,-0.56613
02/1969,0.612,1969-02-01,0.58451,0.02749,1.09023,0.71671,-0.47823,-0.66725,0.25318,-0.16893,-0.49832
03/1969,1.769,1969-03-01,1.74172,0.02728,1.8362,1.01561,-0.0672,-0.06617,0.00952,-0.00063,-0.06554
04/1969,5.529,1969-04-01,5.50194,0.02706,2.39665,1.45556,3.13235,2.15199,0.59307,1.27627,0.87572
05/1969,2.949,1969-05-01,2.92215,0.02685,1.25822,0.80009,1.69078,2.11324,0.37076,0.78351,1.32973
06/1969,0.999,1969-06-01,0.97236,0.02664,0.87288,0.52115,0.12612,0.24201,0.06897,0.01669,0.22532
07/1969,0.756,1969-07-01,0.72958,0.02642,0.86582,0.66268,-0.10983,-0.16573,0.11956,-0.01981,-0.14591
08/1969,0.816,1969-08-01,0.78979,0.02621,0.6943,0.42636,0.1217,0.28544,0.19382,0.05532,0.23012
09/1969,1.105,1969-09-01,1.07901,0.02599,0.7096,0.52468,0.3954,0.7536,0.54189,0.40836,0.34523
10/1969,0.765,1969-10-01,0.73922,0.02578,0.81383,0.66743,-0.04883,-0.07315,-0.0622,0.00455,-0.0777
11/1969,0.433,1969-11-01,0.40743,0.02557,0.95687,0.73276,-0.52387,-0.71493,0.44651,-0.31923,-0.39571
12/1969,0.354,1969-12-01,0.32865,0.02535,1.42378,1.20142,-1.06978,-0.89043,0.38281,-0.34087,-0.54956
01/1970,0.237,1970-01-01,0.21186,0.02514,1.32562,0.92795,-1.08862,-1.17315,0.25444,-0.2985,-0.87465
02/1970,0.497,1970-02-01,0.47208,0.02492,1.09023,0.71671,-0.59323,-0.8277,0.25318,-0.20956,-0.61815
03/1970,1.338,1970-03-01,1.31329,0.02471,1.8362,1.01561,-0.4982,-0.49054,0.00952,-0.00467,-0.48587
04/1970,5.107,1970-04-01,5.0825,0.0245,2.39665,1.45556,2.71035,1.86207,0.59307,1.10433,0.75774
05/1970,3.964,1970-05-01,3.93972,0.02428,1.25822,0.80009,2.70578,3.38185,0.37076,1.25386,2.12799
06/1970,1.528,1970-06-01,1.50393,0.02407,0.87288,0.52115,0.65512,1.25707,0.06897,0.08671,1.17037
07/1970,0.608,1970-07-01,0.58415,0.02385,0.86582,0.66268,-0.25783,-0.38906,0.11956,-0.04651,-0.34255
08/1970,1.55,1970-08-01,1.52636,0.02364,0.6943,0.42636,0.8557,2.00699,0.19382,0.38899,1.618
09/1970,0.517,1970-09-01,0.49357,0.02343,0.7096,0.52468,-0.1926,-0.36708,0.54189,-0.19891,-0.16816
10/1970,1.183,1970-10-01,1.15979,0.02321,0.81383,0.66743,0.36917,0.55313,-0.0622,-0.0344,0.58753
11/1970,2.867,1970-11-01,2.844,0.023,0.95687,0.73276,1.91013,2.60676,0.44651,1.16394,1.44281
12/1970,1.813,1970-12-01,1.79021,0.02279,1.42378,1.20142,0.38922,0.32397,0.38281,0.12402,0.19995
01/1971,0.796,1971-01-01,0.77343,0.02257,1.32562,0.92795,-0.52962,-0.57075,0.25444,-0.14522,-0.42552
02/1971,1.057,1971-02-01,1.03464,0.02236,1.09023,0.71671,-0.03323,-0.04636,0.25318,-0.01174,-0.03462
03/1971,1.685,1971-03-01,1.66286,0.02214,1.8362,1.01561,-0.1512,-0.14888,0.00952,-0.00142,-0.14746
04/1971,2.653,1971-04-01,2.63107,0.02193,2.39665,1.45556,0.25635,0.17612,0.59307,0.10445,0.07167
05/1971,1.189,1971-05-01,1.16728,0.02172,1.25822,0.80009,-0.06922,-0.08652,0.37076,-0.03208,-0.05444
06/1971,1.965,1971-06-01,1.9435,0.0215,0.87288,0.52115,1.09212,2.0956,0.06897,0.14454,1.95106
07/1971,0.798,1971-07-01,0.77671,0.02129,0.86582,0.66268,-0.06783,-0.10235,0.11956,-0.01224,-0.09011
08/1971,0.413,1971-08-01,0.39193,0.02107,0.6943,0.42636,-0.2813,-0.65977,0.19382,-0.12788,-0.5319
09/1971,0.338,1971-09-01,0.31714,0.02086,0.7096,0.52468,-0.3716,-0.70824,0.54189,-0.38378,-0.32445
10/1971,0.305,1971-10-01,0.28435,0.02065,0.81383,0.66743,-0.50883,-0.76236,-0.0622,0.04742,-0.80978
11/1971,0.301,1971-11-01,0.28057,0.02043,0.95687,0.73276,-0.65587,-0.89508,0.44651,-0.39966,-0.49542
12/1971,1.795,1971-12-01,1.77478,0.02022,1.42378,1.20142,0.37122,0.30899,0.38281,0.11829,0.1907
01/1972,0.716,1972-01-01,0.696,0.02,1.32562,0.92795,-0.60963,-0.65696,0.25444,-0.16716,-0.4898
02/1972,0.389,1972-02-01,0.36921,0.01979,1.09023,0.71671,-0.70123,-0.97839,0.25318,-0.24771,-0.73069
03/1972,0.358,1972-03-01,0.33842,0.01958,1.8362,1.01561,-1.4782,-1.45548,0.00952,-0.01386,-1.44162
04/1972,1.417,1972-04-01,1.39764,0.01936,2.39665,1.45556,-0.97965,-0.67304,0.59307,-0.39916,-0.27388
05/1972,1.123,1972-05-01,1.10385,0.01915,1.25822,0.80009,-0.13522,-0.16901,0.37076,-0.06266,-0.10635
06/1972,1.525,1972-06-01,1.50607,0.01893,0.87288,0.52115,0.65212,1.25132,0.06897,0.08631,1.16501
07/1972,0.816,1972-07-01,0.79728,0.01872,0.86582,0.66268,-0.04983,-0.07519,0.11956,-0.00899,-0.0662
08/1972,1.123,1972-08-01,1.10449,0.01851,0.6943,0.42636,0.4287,1.00549,0.19382,0.19488,0.81061
09/1972,0.785,1972-09-01,0.76671,0.01829,0.7096,0.52468,0.0754,0.14371,0.54189,0.07787,0.06583
10/1972,1.037,1972-10-01,1.01892,0.01808,0.81383,0.66743,0.22317,0.33438,-0.0622,-0.0208,0.35518
11/1972,1.116,1972-11-01,1.09814,0.01786,0.95687,0.73276,0.15913,0.21716,0.44651,0.09696,0.1202
12/1972,0.953,1972-12-01,0.93535,0.01765,1.42378,1.20142,-0.47078,-0.39185,0.38281,-0.15001,-0.24184
01/1973,0.504,1973-01-01,0.48656,0.01744,1.32562,0.92795,-0.82162,-0.88542,0.25444,-0.22529,-0.66013
